Year,Season,Rainf,Evap,TVeg,ESoil,ECanop,Qs,Qsb,Qrecharge,soil_storage_chg
2013.0,1.0,366.0,105.30998,70.61273,31.644344,3.0529182,0.115168706,1.0318465,0.0,0.0
2013.0,2.0,160.2,181.03409,115.8967,59.797638,5.3397603,0.08481061,2.4770474,0.0,-22.28343677520752
2013.0,3.0,86.2,126.932594,77.589836,46.04575,3.2970023,0.04421997,2.4149456,0.0,-42.22167491912842
2013.0,4.0,243.2,206.74327,147.19379,54.152718,5.396753,0.08566525,1.793924,0.0,36.18073272705078
2014.0,1.0,100.6,218.68987,164.9425,48.09102,5.656359,0.026355382,1.6986191,0.0,-118.4292197227478
2014.0,2.0,138.8,155.81308,101.643974,47.940125,6.228982,0.040832404,1.6791109,0.0,-16.86513066291809
2014.0,3.0,128.8,106.08742,68.61869,32.39536,5.0733604,0.0308386,1.4729192,0.0,22.68176531791687
2014.0,4.0,104.2,179.81227,133.54071,41.894386,4.37717,0.022245998,1.4074345,0.0,-75.77283763885498
2015.0,1.0,437.8,235.22499,145.01779,83.792656,6.414551,0.1538086,1.8931662,0.0,202.06557989120483
2015.0,2.0,409.40002,149.05661,92.24909,52.16628,4.641245,0.26461554,164.50024,0.0,96.7004280090332
2015.0,3.0,107.2,94.57352,56.67729,35.304966,2.5912607,0.07627021,29.757866,0.0,-16.001676559448242
2015.0,4.0,205.40001,204.48695,121.339714,79.78356,3.3636732,0.12609121,23.568666,0.0,-21.77595853805542
2016.0,1.0,410.8,262.98102,171.48604,87.63668,3.8583155,0.28783178,179.60074,0.0,-30.995062828063965
2016.0,2.0,37.6,175.6601,112.3085,60.167736,3.1838574,0.014168661,1.9634004,0.0,-138.61387300491333
2016.0,3.0,331.2,113.86492,69.65808,40.790184,3.4166572,0.18631557,9.908324,0.0,208.54386186599731
2016.0,4.0,94.4,242.36972,151.05295,88.02917,3.2876143,0.055113956,13.881788,0.0,-160.70016813278198
2017.0,1.0,218.2,249.18137,158.38594,84.63411,6.1613083,0.07407635,1.7158856,0.0,-31.077895641326904
2017.0,2.0,289.8,144.73038,86.461426,44.01967,14.249285,0.15322356,15.910414,0.0,130.09076261520386
2017.0,3.0,111.4,127.33209,82.58425,42.18525,2.5625951,0.07246952,9.097023,0.0,-24.05146074295044
2017.0,4.0,78.6,222.52655,152.83327,66.89432,2.79897,0.026120342,1.7975639,0.0,-144.14351105690002
2018.0,1.0,168.8,197.70229,141.67783,51.63434,4.3901234,0.03868293,1.3369086,0.0,-28.94087529182434
2018.0,2.0,71.4,138.83282,101.76052,34.118767,2.9535375,0.014756671,1.2726142,0.0,-67.4476466178894
2018.0,3.0,35.4,80.8355,60.363846,17.026344,3.4453146,0.005492217,1.1307276,0.0,-45.440991163253784
2018.0,4.0,249.0,160.15027,108.75675,43.398884,7.9946404,0.040904306,1.116213,0.0,88.80882096290588
2019.0,1.0,336.2,296.65097,204.08022,84.59834,7.972414,8.964461,1.9225148,0.0,58.36351561546326
2019.0,2.0,160.8,164.15762,108.5051,49.73629,5.9162474,0.052280847,1.650403,0.0,-3.4098918437957764
2019.0,3.0,67.399994,106.94365,70.89026,31.326925,4.726462,0.018294575,1.4859861,0.0,0.0
2019.0,4.0,141.0,187.0884,141.02452,41.844322,4.2195635,0.034201402,1.3307263,0.0,0.0
