Year,Season,Rainf,Evap,TVeg,ESoil,ECanop,Qs,Qsb,Qrecharge,soil_storage_chg
2013.0,1.0,366.0,95.44294,59.225945,32.814976,3.4020195,0.024101753,2.9116436e-05,8.585621,0.0
2013.0,2.0,160.2,156.80171,104.7312,46.466827,5.603672,0.012944321,7.830189e-05,93.20946,-89.65466499328613
2013.0,3.0,86.2,102.78221,66.52084,32.890884,3.3704798,0.0019058704,8.122253e-05,46.65522,-63.23930263519287
2013.0,4.0,243.2,130.96521,87.9227,37.51434,5.5281744,0.008555917,7.278142e-05,32.93006,79.29616832733154
2014.0,1.0,100.6,156.94962,113.7843,37.083157,6.0821686,0.00018554056,8.35745e-05,26.924833,-83.48062324523926
2014.0,2.0,138.8,142.79564,96.77185,39.025448,6.9983373,0.0021931196,9.295235e-05,23.39139,-27.183253288269043
2014.0,3.0,128.8,84.96905,56.681732,22.773533,5.5137796,0.0008211262,8.52293e-05,17.160824,26.669312477111816
2014.0,4.0,104.2,160.65266,112.50715,43.534595,4.6109133,0.0003084387,8.554248e-05,13.186407,-69.7799186706543
2015.0,1.0,437.8,241.38141,149.91275,83.93279,7.535857,0.02053172,0.00012791966,10.191696,186.34687995910645
2015.0,2.0,409.40002,142.28546,89.32331,47.693546,5.268593,0.063696906,0.00025698505,199.9836,67.02666664123535
2015.0,3.0,107.2,92.17375,56.87123,32.403934,2.898585,0.0035839654,0.00042148255,115.02821,-99.9649429321289
2015.0,4.0,205.40001,163.13953,106.81113,52.2554,4.0729837,0.007864125,0.00040921796,50.97608,-8.723493576049805
2016.0,1.0,410.8,225.15527,156.01117,64.70235,4.44176,0.047429092,0.0007911851,141.6753,43.92202568054199
2016.0,2.0,37.6,89.74883,72.44615,13.782702,3.5199747,3.533289e-05,0.00082337344,90.655815,-142.98317432403564
2016.0,3.0,331.2,111.21762,67.6302,39.98699,3.6004322,0.02200768,0.0014625068,61.947945,158.1909055709839
2016.0,4.0,94.4,170.89514,119.968124,47.217113,3.7098956,0.0014375097,0.0014642277,70.58345,-147.08072471618652
2017.0,1.0,218.2,185.18484,115.23856,63.218506,6.727776,0.00057251187,0.001294673,32.416557,0.5771389007568359
2017.0,2.0,289.8,134.63437,81.30344,38.64032,14.690601,0.024612367,0.0025560777,81.329475,73.83315849304199
2017.0,3.0,111.4,103.05133,70.750175,29.637516,2.6636403,0.0034470179,0.0028897505,57.909706,-49.56448745727539
2017.0,4.0,78.6,121.73595,88.46013,30.276482,2.9993358,3.6201116e-05,0.002286335,33.91037,-77.04634857177734
2018.0,1.0,168.8,135.50655,71.11633,59.59897,4.791253,8.393474e-05,0.0020536068,17.251705,16.041662216186523
2018.0,2.0,71.4,119.15448,81.44035,34.366344,3.3477752,0.000107741645,0.002209222,9.916758,-57.671345710754395
2018.0,3.0,35.4,62.36141,40.177635,18.501017,3.6827593,6.180451e-06,0.0020011708,6.5160084,-33.477434158325195
2018.0,4.0,249.0,140.80556,88.52495,43.87823,8.402373,0.0013983928,0.0021799365,3.5392609,104.65379047393799
2019.0,1.0,336.2,287.19443,187.24683,91.530495,8.417114,15.322764,0.0043546045,22.693886,33.74341583251953
2019.0,2.0,160.8,142.8653,96.00955,40.64956,6.206187,0.004261307,0.0038432276,12.927253,5.003185272216797
2019.0,3.0,67.399994,86.66052,57.80291,24.012928,4.8446856,0.00029243456,0.0035898213,22.193712,0.0
2019.0,4.0,141.0,161.35315,115.75027,41.12181,4.4810743,0.00082809426,0.0034219967,14.932529,0.0
