Year,Season,Rainf,Evap,TVeg,ESoil,ECanop,Qs,Qsb,Qrecharge,soil_storage_chg
2013.0,1.0,366.0,91.14327,58.301018,29.526926,3.3153284,0.0056896014,1.4251742e-07,18.542023,0.0
2013.0,2.0,160.2,141.40788,101.13422,34.684303,5.58937,0.005831962,9.2492326e-07,60.100044,-41.1435661315918
2013.0,3.0,86.2,90.60387,64.12932,23.102598,3.3719492,0.00076275365,1.093782e-06,41.09054,-45.495155334472656
2013.0,4.0,243.2,131.53464,98.209564,27.818096,5.506982,0.003984983,9.3835916e-07,30.630627,81.03075218200684
2014.0,1.0,100.6,144.89357,117.83636,20.959583,6.097634,9.115359e-05,1.3806285e-06,37.280247,-81.7799129486084
2014.0,2.0,138.8,131.78917,93.61675,31.213053,6.9593587,0.00094451266,1.7522615e-06,23.821,-16.605102062225342
2014.0,3.0,128.8,81.99829,58.710495,17.77429,5.513508,0.00046788316,1.5580945e-06,21.21793,25.58329153060913
2014.0,4.0,104.2,153.33119,116.55594,32.156948,4.618301,0.000114729584,1.6578111e-06,14.544876,-63.8167028427124
2015.0,1.0,437.8,229.79956,145.0599,77.27609,7.4635563,0.008770281,3.5350145e-06,35.01018,173.1219778060913
2015.0,2.0,409.40002,132.51358,86.42081,40.878395,5.2143826,0.032861028,7.818207e-06,246.57607,30.23603057861328
2015.0,3.0,107.2,84.97781,54.49472,27.589733,2.8933544,0.0014710814,1.2807655e-05,112.12669,-89.8644790649414
2015.0,4.0,205.40001,150.84435,105.27649,41.52159,4.046261,0.0034666143,1.2847221e-05,41.96859,12.583614349365234
2016.0,1.0,410.8,205.1695,150.52817,50.189598,4.451746,0.02454456,2.5336234e-05,195.86526,9.74068832397461
2016.0,2.0,37.6,87.18268,77.68658,5.957615,3.5384874,1.5967371e-05,2.7416514e-05,68.19954,-117.96074485778809
2016.0,3.0,331.2,106.4444,65.80864,37.055862,3.5798979,0.015573516,4.7240224e-05,94.45611,130.4624137878418
2016.0,4.0,94.4,158.80444,120.73323,34.352417,3.71879,0.0004641557,4.890094e-05,65.67933,-130.08493423461914
2017.0,1.0,218.2,182.74661,120.7486,55.25132,6.746713,0.00027484287,4.4402026e-05,19.408148,16.024309158325195
2017.0,2.0,289.8,125.02681,78.577835,31.770416,14.678553,0.0108409,8.541482e-05,115.19505,49.58865451812744
2017.0,3.0,111.4,91.162224,68.261215,20.236801,2.6642122,0.0017009644,9.937769e-05,61.203617,-40.96755123138428
2017.0,4.0,78.6,124.60149,97.68898,23.916363,2.99614,1.39514605e-05,8.159374e-05,21.709528,-67.71103000640869
2018.0,1.0,168.8,146.47592,92.8295,48.869884,4.7765303,2.6614463e-05,7.204998e-05,3.7543192,18.56973171234131
2018.0,2.0,71.4,115.9451,84.24825,28.353643,3.3432004,3.221677e-05,7.626188e-05,-2.2635229,-42.28157997131348
2018.0,3.0,35.4,65.81868,47.760513,14.375621,3.6825497,1.4655543e-06,6.957835e-05,-3.9940453,-26.424655437469482
2018.0,4.0,249.0,133.58185,92.94627,32.21422,8.421343,0.0006802734,7.482442e-05,-4.6833773,120.10084867477417
2019.0,1.0,336.2,266.93002,184.89764,73.5815,8.450874,15.3151245,0.00015956978,49.80352,29.462696075439453
2019.0,2.0,160.8,130.4968,94.08107,30.204681,6.2110457,0.0017650655,0.00014269906,49.45643,-19.15501594543457
2019.0,3.0,67.399994,81.32186,57.735115,18.74168,4.845067,0.000121836405,0.0001385341,24.759827,0.0
2019.0,4.0,141.0,152.8959,120.01927,28.37702,4.499607,0.00046761258,0.00013622924,10.399667,0.0
