Year,Season,Rainf,Evap,TVeg,ESoil,ECanop,Qs,Qsb,Qrecharge,soil_storage_chg
2013.0,1.0,366.0,118.236916,91.78401,23.128275,3.3246326,0.0016368935,1.8454975e-07,1.2237659,0.0
2013.0,2.0,160.2,181.17407,132.2462,43.48726,5.4406095,0.0016684998,9.387687e-07,8.019426,-28.82582664489746
2013.0,3.0,86.2,121.20125,86.47445,31.46565,3.2611487,0.00039865542,9.041167e-07,6.6443877,-41.64603042602539
2013.0,4.0,243.2,198.25583,167.3657,25.187387,5.702741,0.0011409193,4.403611e-07,2.4109373,42.53206443786621
2014.0,1.0,100.6,212.45132,189.62758,16.758625,6.0651402,3.740618e-05,3.7881549e-07,2.678642,-114.7277660369873
2014.0,2.0,138.8,153.60889,124.07593,22.589869,6.943088,0.0002202897,3.572102e-07,1.2989095,-15.910261154174805
2014.0,3.0,128.8,94.67706,73.913284,15.2128935,5.550887,0.00015606772,2.4486297e-07,0.8664462,33.256343841552734
2014.0,4.0,104.2,174.2134,150.2717,19.305534,4.636157,3.468302e-05,2.3389327e-07,0.7782581,-70.94422721862793
2015.0,1.0,437.8,250.33566,181.94548,60.964775,7.4254084,0.0019963982,6.773038e-07,2.8953977,184.71942901611328
2015.0,2.0,409.40002,157.4378,112.970795,39.125103,5.341912,0.009211084,2.577132e-06,100.33977,151.56927871704102
2015.0,3.0,107.2,103.599434,69.19976,31.540329,2.8593407,0.0012542654,5.0031185e-06,65.936485,-62.29318809509277
2015.0,4.0,205.40001,217.96684,154.25212,59.628166,4.086554,0.0017091855,4.1325006e-06,18.119846,-30.688386917114258
2016.0,1.0,410.8,280.452,205.03784,71.248405,4.165765,0.008576574,6.621839e-06,111.767006,18.572391510009766
2016.0,2.0,37.6,180.12186,139.81535,36.581604,3.7248976,6.52785e-05,5.425484e-06,9.605693,-152.33427619934082
2016.0,3.0,331.2,122.32389,83.59625,34.91588,3.8117619,0.007368544,8.005312e-06,31.338566,177.7368507385254
2016.0,4.0,94.4,258.64975,204.30928,50.346912,3.9935632,0.00045657993,7.1819895e-06,19.064602,-183.31683444976807
2017.0,1.0,218.2,243.2667,204.2504,31.878742,7.1375465,0.00026051578,4.6350706e-06,2.6390102,-27.728266716003418
2017.0,2.0,289.8,153.20801,101.417244,37.020416,14.770342,0.0027066406,7.970264e-06,16.059734,120.55384635925293
2017.0,3.0,111.4,127.79042,91.87337,33.334858,2.5822046,0.0013787448,8.405597e-06,16.491804,-32.88358688354492
2017.0,4.0,78.6,201.99272,180.01869,18.92711,3.0469165,4.2458305e-05,5.519059e-06,3.4610703,-126.85383415222168
2018.0,1.0,168.8,176.75818,142.95995,28.931244,4.86698,9.4301155e-05,4.029146e-06,0.77302635,-8.73128890991211
2018.0,2.0,71.4,128.805,109.66232,15.767308,3.3753645,2.5392821e-05,3.8913e-06,0.1072705,-57.51226806640625
2018.0,3.0,35.4,70.6259,58.14705,8.770173,3.7086782,3.092406e-06,3.2744738e-06,-0.24228038,-34.983643531799316
2018.0,4.0,249.0,141.00388,108.582924,24.341242,8.079709,0.00036677075,3.5172795e-06,-0.40984082,108.40560245513916
2019.0,1.0,336.2,276.0893,209.70493,58.408264,7.9761057,0.0035123,5.9795493e-06,2.7297683,57.37745380401611
2019.0,2.0,160.8,165.3404,128.30727,30.964111,6.069024,0.00056759623,6.4049964e-06,3.753776,-8.294756889343262
2019.0,3.0,41.399998,27.9292,18.556238,7.019155,2.3538048,4.6703302e-05,1.9475933e-06,0.7400746,0.0
