Year,Season,Rainf,Evap,TVeg,ESoil,ECanop,Qs,Qsb,Qrecharge,soil_storage_chg
2013.0,1.0,366.0,93.39047,59.6533,30.407846,3.3293262,0.011882347,1.4069742e-07,5.7422714,0.0
2013.0,2.0,160.2,154.67184,106.63452,42.45761,5.5797143,0.012218154,8.495721e-07,4.597752,1.0880241394042969
2013.0,3.0,86.2,101.44941,68.28173,29.80526,3.3624234,0.0017653691,9.4112545e-07,4.8430176,-20.094204902648926
2013.0,4.0,243.2,134.04427,100.312485,28.224224,5.507555,0.0075222263,7.473124e-07,7.7404046,101.40784168243408
2014.0,1.0,100.6,159.33931,126.17314,27.081114,6.085061,0.0001430806,1.0199954e-06,10.069248,-69.01471900939941
2014.0,2.0,138.8,141.6043,98.45378,36.19094,6.959575,0.001976098,1.2519677e-06,11.432688,-14.032973289489746
2014.0,3.0,128.8,86.13205,60.748627,19.880428,5.502997,0.0007675183,1.0245292e-06,10.63037,32.03682041168213
2014.0,4.0,104.2,163.18927,123.246796,35.32837,4.6140914,0.00028371788,1.0408838e-06,9.465375,-68.59546184539795
2015.0,1.0,437.8,240.96774,150.4343,83.081085,7.4523606,0.020461129,2.3932726e-06,8.945938,188.0063600540161
2015.0,2.0,409.40002,141.8078,90.36346,46.22866,5.2156916,0.0643618,5.7196576e-06,202.20085,65.2857894897461
2015.0,3.0,107.2,91.90028,57.31208,31.69812,2.890085,0.003672079,9.579376e-06,100.10818,-84.77092170715332
2015.0,4.0,205.40001,164.0596,111.82658,48.186596,4.046419,0.008031115,9.291893e-06,45.307186,-3.9747886657714844
2016.0,1.0,410.8,225.29329,160.19374,60.693794,4.4057503,0.04818378,1.716264e-05,160.36517,25.09335422515869
2016.0,2.0,37.6,92.078636,81.48194,7.063936,3.5327592,3.0764386e-05,1.7833794e-05,78.437645,-133.0948042869568
2016.0,3.0,331.2,111.169205,67.89998,39.6866,3.58262,0.022466842,3.0353967e-05,65.54807,154.63876390457153
2016.0,4.0,94.4,172.74907,128.94794,40.097477,3.7036576,0.0014470296,3.0344245e-05,68.60961,-146.9608917236328
2017.0,1.0,218.2,187.64261,125.64007,55.263424,6.7391195,0.00047599824,2.6752958e-05,34.512566,-3.9763927459716797
2017.0,2.0,289.8,134.3534,82.4274,37.25915,14.6668415,0.024147142,5.025412e-05,81.5483,73.89564323425293
2017.0,3.0,111.4,103.0738,73.193665,27.22356,2.6565716,0.0036049862,5.6363613e-05,58.219135,-49.89655017852783
2017.0,4.0,78.6,128.55711,101.69899,23.86353,2.994592,2.4909405e-05,4.480248e-05,35.69403,-85.6511869430542
2018.0,1.0,168.8,145.15436,92.13253,48.25151,4.7703204,3.4950415e-05,3.9569983e-05,20.856617,2.789003372192383
2018.0,2.0,71.4,117.20006,85.71081,28.14864,3.3406162,4.367365e-05,4.1855325e-05,14.216032,-60.01612091064453
2018.0,3.0,35.4,65.36659,47.403515,14.278587,3.6844904,2.2167926e-06,3.8162718e-05,10.277478,-40.24407172203064
2018.0,4.0,249.0,140.06631,96.233734,35.421497,8.411074,0.0009096094,4.0820436e-05,7.7737665,101.1590268611908
2019.0,1.0,336.2,288.21442,195.94499,83.857666,8.411778,15.322333,7.9642065e-05,21.349998,38.06027412414551
2019.0,2.0,160.8,143.05386,99.68439,37.168045,6.2014284,0.0041934242,6.979304e-05,11.8427105,5.899229049682617
2019.0,3.0,67.399994,87.15608,61.275284,21.037457,4.84334,0.00028670972,6.5629516e-05,16.484356,0.0
2019.0,4.0,141.0,164.04501,127.2475,32.306213,4.4913125,0.0008276885,6.258328e-05,14.617905,0.0
