Year,Season,Rainf,Evap,TVeg,ESoil,ECanop,Qs,Qsb,Qrecharge,soil_storage_chg
2013.0,1.0,366.0,121.19974,90.403015,27.492744,3.303969,0.0028694933,1.05854724e-07,32.53965,0.0
2013.0,2.0,160.2,152.91905,113.13025,34.21374,5.5750656,0.004778714,6.822239e-07,35.799248,-28.35285758972168
2013.0,3.0,86.2,100.13167,73.98735,22.774513,3.3698032,0.00060615136,7.686318e-07,28.44014,-42.37241315841675
2013.0,4.0,243.2,178.6894,143.55423,29.64206,5.4931135,0.0012537217,4.7747994e-07,24.189707,40.31964635848999
2014.0,1.0,100.6,197.00317,169.80281,21.12891,6.0714526,4.286258e-06,5.009025e-07,16.981853,-113.59101104736328
2014.0,2.0,138.8,137.49019,101.69135,28.848345,6.950487,0.000107474094,5.237778e-07,10.9783745,-9.462693214416504
2014.0,3.0,128.8,90.62849,69.25229,15.874426,5.501774,5.0841933e-05,4.0633685e-07,6.77218,31.399283409118652
2014.0,4.0,104.2,185.06567,150.66708,29.78603,4.6125593,1.7011505e-05,3.915523e-07,4.378384,-85.38461112976074
2015.0,1.0,437.8,231.23898,148.14432,75.66557,7.4290977,0.0051861005,1.0433513e-06,2.8777244,203.81860542297363
2015.0,2.0,409.40002,137.5737,92.18747,40.201233,5.1849875,0.03176867,3.5701955e-06,156.27321,115.4798641204834
2015.0,3.0,107.2,88.06994,57.613194,27.575394,2.8813531,0.0014781983,6.6350217e-06,110.11482,-90.94474792480469
2015.0,4.0,205.40001,170.23062,124.34627,41.86051,4.023841,0.0028334896,6.378968e-06,41.53361,-6.367061614990234
2016.0,1.0,410.8,226.96518,171.2161,51.340267,4.4088054,0.023095705,1.1644872e-05,160.92639,22.885327339172363
2016.0,2.0,37.6,121.30075,109.135315,8.656018,3.5094113,4.2402216e-06,1.1456475e-05,64.78473,-148.66399478912354
2016.0,3.0,331.2,107.82477,67.381325,36.88386,3.559582,0.008099109,1.8731687e-05,63.955826,159.58983993530273
2016.0,4.0,94.4,191.9749,152.58089,35.68634,3.7076755,0.0004315786,1.8644856e-05,60.009922,-157.5859522819519
2017.0,1.0,218.2,206.06339,150.05438,49.27633,6.7326736,1.5912217e-05,1.5026326e-05,21.031729,-8.915688037872314
2017.0,2.0,289.8,130.99585,84.72769,31.610954,14.657192,0.007451106,2.7693834e-05,63.2144,95.60355186462402
2017.0,3.0,111.4,101.99655,79.380264,19.956583,2.6596975,0.0014648194,3.1351807e-05,52.818092,-43.416104316711426
2017.0,4.0,78.6,170.91248,146.3281,21.586067,2.998312,2.5867757e-07,2.3038565e-05,22.051737,-114.36422204971313
2018.0,1.0,168.8,188.42744,157.93715,25.671755,4.818534,3.7117073e-07,1.8337898e-05,4.775797,-24.403242588043213
2018.0,2.0,71.4,132.99425,105.197685,24.459755,3.336817,1.9451672e-07,1.7295937e-05,-1.9562492,-59.638007164001465
2018.0,3.0,35.4,81.278046,71.475296,6.099385,3.7033627,4.9735455e-08,1.5146747e-05,-4.6375666,-41.24046850204468
2018.0,4.0,249.0,163.42038,126.829544,28.168875,8.421961,2.6478285e-05,1.45783415e-05,-6.24284,91.82243204116821
2019.0,1.0,336.2,310.73553,233.0076,69.269035,8.458887,15.311221,2.7602448e-05,16.74327,45.97945594787598
2019.0,2.0,160.8,142.16011,108.27763,27.678394,6.2040777,0.0004791597,2.492536e-05,-5.3054442,23.944847106933594
2019.0,3.0,67.399994,92.81057,70.17001,17.801416,4.839141,1.7814253e-05,2.3632318e-05,-3.9120507,0.0
2019.0,4.0,141.0,188.458,156.87964,27.094421,4.4839215,3.748434e-05,2.161687e-05,-1.1481992,0.0
