Year,Season,Rainf,Evap,TVeg,ESoil,ECanop,Qs,Qsb,Qrecharge,soil_storage_chg
2013.0,1.0,366.0,229.16104,60.577522,151.8587,16.724806,0.00036934472,0.04631862,-0.38524085,0.0
2013.0,2.0,160.2,230.94095,103.16816,114.33841,13.434394,0.00031205182,0.08178994,-1.3331321,-69.29725241661072
2013.0,3.0,86.2,147.94888,58.288002,79.291824,10.369049,7.591015e-05,0.073929,-0.6583557,-61.0905647277832
2013.0,4.0,243.2,197.65173,62.558258,119.53305,15.560427,0.00010210642,0.06317843,0.29402888,45.25410747528076
2014.0,1.0,100.6,185.01678,31.601145,138.25916,15.15649,1.2012655e-05,0.060277455,0.6660104,-85.08715343475342
2014.0,2.0,138.8,156.02234,60.75621,81.01119,14.254927,2.4311943e-05,0.06095338,-0.8696753,-16.34832990169525
2014.0,3.0,128.8,104.466354,34.58129,55.34063,14.544431,1.363369e-05,0.057081584,-1.2947994,25.62845003604889
2014.0,4.0,104.2,145.66986,44.853035,92.72815,8.088682,9.18761e-06,0.055966176,-2.0873063,-39.40726280212402
2015.0,1.0,437.8,378.02576,112.01586,242.23886,23.771013,0.00010447571,0.061766203,-3.0741334,62.873008489608765
2015.0,2.0,409.40002,230.11162,82.76264,120.36418,26.984797,0.0008455133,0.07961673,-3.3439057,182.631409406662
2015.0,3.0,107.2,179.20432,71.93306,96.01072,11.260537,0.0003347789,0.09076648,-0.90111566,-71.10354518890381
2015.0,4.0,205.40001,247.37567,106.07771,125.31204,15.985924,0.00021364893,0.07421963,1.901875,-43.87775492668152
2016.0,1.0,410.8,382.84894,120.138535,240.99942,21.71099,0.0010865562,0.0838694,0.032092854,27.917864084243774
2016.0,2.0,37.6,130.68994,52.941406,71.0968,6.6517262,1.9935711e-05,0.06995947,3.5396242,-96.7237377166748
2016.0,3.0,331.2,211.96167,73.93876,117.82039,20.20253,0.0005437388,0.08595593,0.2618254,119.07010507583618
2016.0,4.0,94.4,214.33847,86.73531,117.24777,10.355397,9.3259136e-05,0.07229307,1.8974774,-121.8360503911972
2017.0,1.0,218.2,230.53844,42.14839,172.43835,15.951702,4.414304e-05,0.060083613,2.0469573,-14.385430932044983
2017.0,2.0,289.8,246.50412,85.42945,112.23025,48.84444,0.00020551885,0.07415308,-1.6662132,44.96192002296448
2017.0,3.0,111.4,137.832,58.027992,71.927414,7.876585,8.1552746e-05,0.07140989,-1.797696,-24.634439826011658
2017.0,4.0,78.6,133.91281,44.098927,80.81433,8.999548,1.1449227e-05,0.059164297,-0.541332,-54.771501302719116
2018.0,1.0,168.8,169.16122,20.994787,135.17924,12.987193,1.1746152e-05,0.052683376,-0.7222709,0.36107122898101807
2018.0,2.0,71.4,105.4738,30.024399,66.03408,9.415322,4.5686065e-06,0.053585015,-2.0281222,-32.04565238952637
2018.0,3.0,35.4,57.324303,15.042158,35.125824,7.1563187,1.43732e-06,0.05127803,-2.4542627,-19.470065355300903
2018.0,4.0,249.0,160.94005,52.10515,91.575165,17.259743,2.3688506e-05,0.052733596,-2.9429736,91.00284743309021
2019.0,1.0,336.2,317.48932,93.77344,210.30502,13.410838,0.0001647151,0.06506199,0.48887396,18.22167146205902
2019.0,2.0,160.8,174.1919,68.612976,93.75252,11.826409,7.991221e-05,0.06579418,0.9244077,-14.316395878791809
2019.0,3.0,41.399998,33.131042,12.238034,16.568617,4.3243914,9.954495e-06,0.020311514,0.1756611,0.0
